Time, Accel_X, Accel_Y, Accel_Z, Gyro_X, Gyro_Y, Gyro_Z, Mag_X, Mag_Y, Mag_Z, Temperature_IMU, Pressure, Temperature, Depth, Altitude
4544, -30.761719, 121.093750, -949.707031, -4.435114, -0.137405, -2.213740, -22.200001, 0.300000, -28.500000, 26.400305, 937.700012, 24.540001, -0.746206, 648.513550
4623, -72.265625, 178.222656, -921.386719, 10.190840, 12.297709, 1.122137, -20.549999, 0.900000, -28.950001, 26.496151, 952.200012, 24.629999, -0.602515, 520.846252
4702, 78.613281, 108.886719, -1008.300781, 9.595420, -8.053435, 15.175572, -21.450001, -1.500000, -29.250000, 26.735765, 934.200012, 24.680000, -0.780891, 679.569092
4786, 83.496094, 88.378906, -965.332031, 1.732824, -20.099237, 11.175572, -20.850000, 0.450000, -29.400000, 26.783688, 935.000000, 24.680000, -0.772963, 672.462524
4866, -47.363281, 146.972656, -958.984375, 3.099237, -15.076336, -7.122138, -20.700001, 1.050000, -29.549999, 26.831612, 935.799988, 24.730000, -0.765035, 665.360840
4946, 25.878906, 155.761719, -978.515625, 5.335878, -21.244274, 9.053435, -20.850000, 2.400000, -28.200001, 26.735765, 938.500000, 24.780001, -0.738279, 641.428406
5032, 25.878906, 129.394531, -964.355469, 5.977099, 8.526717, 10.122137, -21.000000, 0.750000, -27.750000, 26.831612, 940.500000, 24.770000, -0.718459, 623.736694
5113, 18.066406, 165.039062, -983.398438, -4.152672, 11.083969, -12.038168, -20.250000, 1.050000, -28.049999, 26.831612, 939.299988, 24.780001, -0.730351, 634.348206
5190, -45.410156, 100.585938, -939.453125, -7.358778, 19.702290, 5.618320, -20.850000, 2.100000, -27.450001, 26.591997, 938.200012, 24.809999, -0.741251, 644.084717
5271, -9.277344, 120.117188, -972.167969, -3.854962, -13.389313, -4.580153, -20.100000, 0.900000, -29.400000, 26.831612, 936.200012, 24.760000, -0.761071, 661.811584
5348, 0.976562, 141.601562, -947.265625, -4.442748, -6.656488, -1.404580, -21.600000, -0.150000, -29.400000, 26.783688, 939.599976, 24.770000, -0.727378, 631.694458
5427, 27.343750, 138.671875, -953.125000, -2.198473, -12.038168, -6.412214, -21.299999, 2.100000, -26.700001, 26.831612, 945.099976, 24.850000, -0.672874, 583.161316
5511, 9.765625, 150.878906, -983.886719, -2.549618, 6.793893, -2.267176, -20.850000, 0.450000, -26.700001, 26.831612, 936.299988, 24.830000, -0.760080, 660.924683
5590, 0.000000, 132.812500, -969.726562, 1.801527, 13.572519, -5.938931, -21.299999, 0.450000, -27.450001, 26.831612, 946.799988, 24.860001, -0.656027, 568.206360
5666, 27.832031, 139.648438, -985.351562, 1.748092, 9.496183, 7.961832, -21.299999, -0.150000, -27.900000, 26.975380, 939.099976, 24.840000, -0.732333, 636.117920
5746, 18.066406, 171.875000, -954.101562, -2.175573, 10.625955, 5.419847, -21.299999, 0.150000, -26.400000, 26.735765, 938.000000, 24.830000, -0.743233, 645.856140
5822, 19.042969, 155.273438, -969.726562, 0.213740, 3.381679, -8.969465, -20.250000, 0.000000, -28.799999, 26.831612, 944.599976, 24.840000, -0.677829, 587.563965
5901, 12.207031, 115.234375, -957.031250, -5.335878, -20.488550, -3.274809, -21.450001, -0.750000, -29.549999, 26.831612, 937.400024, 24.870001, -0.749179, 651.171692
5975, 4.394531, 135.253906, -952.148438, -6.496183, 0.061069, -17.526718, -20.250000, 1.050000, -28.049999, 26.831612, 941.400024, 24.910000, -0.709540, 615.785156
6047, -40.039062, 50.292969, -973.144531, 12.480916, 7.534351, 0.450382, -20.100000, 0.900000, -27.900000, 26.831612, 939.500000, 24.930000, -0.728369, 632.578735
6119, 71.289062, 195.800781, -1064.941406, 11.572519, -0.961832, -20.061069, -20.549999, -0.450000, -27.900000, 26.927456, 944.500000, 24.870001, -0.678820, 588.444519
6195, -23.437500, 81.054688, -964.355469, 14.366412, -4.366412, 4.022901, -21.600000, -1.650000, -29.700001, 26.831612, 933.700012, 24.930000, -0.785845, 684.013306
6269, 29.296875, 110.839844, -1032.714844, 4.877862, -6.824428, -17.122137, -21.750000, -0.300000, -28.799999, 26.927456, 936.000000, 24.930000, -0.763053, 663.586060
6343, -6.347656, 101.074219, -986.328125, 5.526718, 4.106870, 4.473282, -20.850000, 0.450000, -27.900000, 26.927456, 943.799988, 24.940001, -0.685757, 594.612000
6418, -17.578125, 79.101562, -971.191406, 1.122137, 6.083970, 3.793893, -20.549999, 0.900000, -28.200001, 27.119148, 936.099976, 24.930000, -0.762062, 662.699036
6497, -26.855469, 69.824219, -978.515625, 2.366412, 0.664122, -8.763359, -20.850000, -0.150000, -27.900000, 26.783688, 940.299988, 24.889999, -0.720441, 625.504639
6573, -0.976562, 93.261719, -974.609375, -5.496183, 4.648855, -3.625954, -20.100000, -1.350000, -28.950001, 26.831612, 933.099976, 24.900000, -0.791791, 689.349182
6649, -18.066406, 62.011719, -974.609375, 2.709924, -14.091603, 3.603053, -20.850000, -0.450000, -28.950001, 26.975380, 933.500000, 24.900000, -0.787827, 685.791626
6728, -4.882812, 78.125000, -982.421875, 4.053435, 9.137404, -4.862596, -19.950001, 0.750000, -28.049999, 26.975380, 936.900024, 24.950001, -0.754134, 655.603577
6800, -4.394531, 84.960938, -974.121094, 5.656488, -9.854961, 8.916031, -21.450001, -0.750000, -28.500000, 26.927456, 933.700012, 24.940001, -0.785845, 684.013306
6872, -13.183594, 91.308594, -980.957031, 5.099236, -15.183207, -0.229008, -19.950001, 0.000000, -28.799999, 26.927456, 937.599976, 24.969999, -0.747197, 649.399841
6947, -10.253906, 72.753906, -977.050781, 10.335877, -6.091603, 18.603054, -20.549999, -0.450000, -28.950001, 27.119148, 935.900024, 24.959999, -0.764044, 664.473145
7021, 11.718750, 68.847656, -985.839844, 3.854962, -13.099236, -5.190840, -19.500000, -0.300000, -28.799999, 27.023302, 940.099976, 25.000000, -0.722423, 627.272827
7095, -9.277344, 82.031250, -978.515625, 4.450382, 5.916030, 13.801527, -20.700001, -1.950000, -28.049999, 26.735765, 945.099976, 24.990000, -0.672874, 583.161316
7173, -9.277344, 71.289062, -971.191406, 3.587786, 1.770992, 6.870229, -19.950001, -1.500000, -29.250000, 26.783688, 944.799988, 25.010000, -0.675847, 585.802551
7249, -10.742188, 69.335938, -988.769531, -0.587786, 2.610687, 4.366412, -20.100000, -0.450000, -29.400000, 26.831612, 946.099976, 24.950001, -0.662964, 574.361694
7325, -21.484375, 60.546875, -966.796875, 3.709924, -8.343512, -8.793893, -20.100000, -1.350000, -28.950001, 26.927456, 942.400024, 24.980000, -0.699630, 606.957581
7405, -16.601562, 63.476562, -967.773438, 0.961832, -13.458015, 7.816794, -19.799999, -1.650000, -27.450001, 26.975380, 937.200012, 24.990000, -0.751161, 652.944275
7482, -2.441406, 71.777344, -965.820312, 0.725191, 0.679389, 6.091603, -20.850000, -2.100000, -29.400000, 26.831612, 936.000000, 24.969999, -0.763053, 663.586060
7554, -25.878906, 73.242188, -979.003906, 0.816794, -21.854961, 5.885496, -19.799999, -0.150000, -28.950001, 27.023302, 944.299988, 24.980000, -0.680802, 590.206360
7628, -9.277344, 60.546875, -979.003906, -1.435115, 28.389313, 4.572519, -19.350000, -0.450000, -29.700001, 27.119148, 933.799988, 25.000000, -0.784854, 683.124512
7700, -12.207031, 62.500000, -984.375000, 0.244275, 19.786259, 2.022901, -20.100000, -0.900000, -29.400000, 26.975380, 944.099976, 25.030001, -0.682784, 591.968506
7774, -6.347656, 74.218750, -979.003906, -6.076336, 12.702291, 4.893130, -20.549999, -0.450000, -29.400000, 26.975380, 946.700012, 24.990000, -0.657018, 569.085266
7851, -8.789062, 68.359375, -978.027344, -5.709924, 8.549619, -5.099236, -21.299999, -0.900000, -28.650000, 27.119148, 930.400024, 25.000000, -0.818548, 713.393311
7926, -10.253906, 59.570312, -980.468750, -0.870229, -10.160305, -5.022901, -21.600000, -1.650000, -27.900000, 27.167070, 947.400024, 25.030001, -0.650081, 562.933044
8001, -34.667969, 40.527344, -974.609375, 10.480916, 1.969466, 21.442749, -20.100000, -0.900000, -29.400000, 26.783688, 941.099976, 24.990000, -0.712513, 618.435364
8080, 40.527344, 41.992188, -1040.039062, -2.549618, 12.167939, -16.641222, -19.350000, -1.650000, -27.900000, 27.358763, 938.599976, 25.030001, -0.737288, 640.543335
8156, -5.371094, 63.964844, -975.097656, -3.625954, 7.000000, 1.236641, -19.950001, -0.750000, -28.500000, 27.119148, 937.299988, 24.980000, -0.750170, 652.058228
8235, -61.035156, 92.285156, -944.335938, -2.839695, -11.618320, -5.259542, -21.600000, -2.400000, -29.400000, 26.975380, 937.000000, 25.020000, -0.753143, 654.717224
8309, -50.292969, 72.753906, -942.871094, -5.122138, 9.938931, 17.022902, -20.549999, -1.650000, -27.450001, 27.167070, 931.200012, 25.049999, -0.810620, 706.263245
8381, 9.277344, 85.937500, -983.398438, 7.893130, -14.122137, 5.297710, -21.750000, -0.750000, -29.250000, 26.831612, 939.400024, 25.059999, -0.729360, 633.463196
8453, 12.207031, 64.453125, -964.843750, 7.519084, -3.839695, 2.549618, -20.100000, -0.150000, -27.900000, 27.167070, 951.299988, 25.059999, -0.611433, 528.724609
8526, -27.343750, 63.964844, -939.941406, -2.511450, -1.000000, -12.702291, -19.950001, -0.750000, -28.049999, 27.167070, 939.500000, 25.080000, -0.728369, 632.578735
8603, 14.648438, 78.613281, -962.402344, -1.793893, 11.312977, 1.152672, -21.299999, -2.100000, -28.200001, 27.167070, 933.900024, 25.049999, -0.783863, 682.235291
8678, 58.593750, 68.359375, -973.144531, -1.557252, -9.877863, 2.305344, -22.049999, -1.650000, -27.900000, 26.927456, 936.400024, 25.059999, -0.759089, 660.037354
8753, 59.082031, 62.988281, -1000.488281, -1.015267, 2.511450, 13.366412, -21.000000, -0.750000, -27.750000, 27.167070, 936.400024, 25.070000, -0.759089, 660.037354
8832, 14.648438, 77.636719, -961.425781, 0.740458, 12.648855, 3.702290, -22.350000, -1.350000, -28.200001, 26.927456, 936.299988, 25.100000, -0.760080, 660.924683
8908, 68.359375, 41.992188, -953.613281, 11.267176, 3.229008, 14.847328, -20.850000, -0.900000, -29.400000, 27.167070, 939.700012, 25.090000, -0.726387, 630.809631
8984, 32.714844, 48.828125, -978.027344, 0.251908, 4.572519, -0.664122, -22.200001, -1.500000, -29.549999, 27.119148, 939.000000, 25.059999, -0.733324, 637.002625
9063, 12.695312, 40.039062, -950.683594, 2.587786, -21.900763, 1.450382, -21.450001, -1.050000, -27.750000, 26.831612, 941.299988, 25.049999, -0.710531, 616.668701
9135, 58.105469, 52.734375, -943.847656, -2.961832, 1.091603, -14.068703, -22.200001, -1.950000, -27.750000, 27.119148, 935.099976, 25.080000, -0.771972, 671.574707
9207, 18.554688, 55.664062, -968.750000, -3.511450, -17.587786, -11.160305, -21.299999, -1.350000, -29.700001, 26.927456, 936.900024, 25.129999, -0.754134, 655.603577
9282, 55.175781, 64.453125, -987.792969, 4.587786, 26.801527, 2.167939, -20.850000, -0.900000, -28.200001, 26.927456, 939.200012, 25.100000, -0.731342, 635.232727
9356, 8.789062, 66.406250, -957.031250, 18.954199, 0.625954, -21.213741, -23.100000, -2.400000, -28.950001, 27.119148, 935.700012, 25.100000, -0.766026, 666.248047
9431, 31.738281, 46.875000, -952.636719, 6.885496, -25.404581, 2.519084, -22.350000, -1.350000, -28.200001, 27.310839, 940.500000, 25.129999, -0.718459, 623.736694
9509, 50.781250, 57.617188, -996.582031, 9.167939, -39.541985, -4.832061, -21.000000, -2.700000, -28.500000, 27.454609, 939.299988, 25.139999, -0.730351, 634.348206
9585, -14.648438, -40.527344, -906.250000, 14.053435, 28.366413, 5.374046, -22.799999, -2.850000, -28.200001, 27.310839, 938.200012, 25.120001, -0.741251, 644.084717
9661, 65.429688, -42.968750, -979.492188, -35.900764, 28.908398, 3.641221, -22.350000, -2.400000, -28.650000, 27.310839, 944.700012, 25.120001, -0.676838, 586.682983
9741, 77.636719, 97.656250, -822.753906, -55.748093, -43.450382, -67.389313, -21.299999, -2.100000, -28.650000, 27.167070, 938.000000, 25.150000, -0.743233, 645.856140
9818, 27.343750, 52.734375, -995.117188, -53.045803, 32.717556, -11.396947, -19.799999, -0.450000, -28.650000, 26.783688, 940.799988, 25.120001, -0.715486, 621.085693
9890, 1.953125, 59.082031, -1013.183594, 8.190840, -16.251909, -15.503817, -19.799999, -0.450000, -28.650000, 27.167070, 942.400024, 25.150000, -0.699630, 606.957581
9964, -44.433594, 95.703125, -944.824219, -2.274809, -0.534351, -17.312977, -20.549999, -0.150000, -28.200001, 27.119148, 932.000000, 25.170000, -0.802692, 699.138123
10036, -12.695312, 103.515625, -979.003906, -31.061069, -1.198473, 24.236641, -20.100000, -0.450000, -27.450001, 27.119148, 945.299988, 25.170000, -0.670892, 581.400696
10110, -68.359375, 85.937500, -989.746094, 16.083969, 12.320611, 6.167939, -21.299999, -1.350000, -27.900000, 27.119148, 940.599976, 25.150000, -0.717468, 622.853149
10187, -16.113281, 89.843750, -966.796875, 11.396947, 3.732824, 0.916031, -19.950001, 0.000000, -28.049999, 27.023302, 937.900024, 25.180000, -0.744224, 646.741699
10262, -59.082031, 58.105469, -986.816406, -7.709924, -1.954198, 22.977098, -20.700001, -0.750000, -27.000000, 27.310839, 943.000000, 25.200001, -0.693685, 601.664856
10337, -8.300781, 83.007812, -989.746094, 19.152672, -47.832062, -3.984733, -19.350000, -1.350000, -27.450001, 27.119148, 945.599976, 25.170000, -0.667919, 578.760559
10417, -82.031250, 134.765625, -944.335938, -48.503819, -18.564886, -2.312977, -20.100000, 0.900000, -27.150000, 27.023302, 935.299988, 25.170000, -0.769990, 669.798889
10493, -49.316406, 183.105469, -989.257812, -71.664124, 31.900763, -0.267176, -19.049999, -0.450000, -25.650000, 27.167070, 943.000000, 25.190001, -0.693685, 601.664856
10572, -27.832031, 268.554688, -856.445312, -60.717556, 12.450381, 16.610687, -19.500000, 1.050000, -25.799999, 27.119148, 942.500000, 25.190001, -0.698639, 606.075439
10646, -66.894531, 346.191406, -742.675781, -115.877861, 26.312977, 22.000000, -20.549999, 4.050000, -24.150000, 27.454609, 937.400024, 25.209999, -0.749179, 651.171692
10718, 69.824219, 487.304688, -688.964844, -163.236649, -6.557252, 16.458015, -21.000000, 6.150000, -20.700001, 27.167070, 946.599976, 25.219999, -0.658009, 569.964722
10790, 25.878906, 691.894531, -567.871094, -121.587784, 2.038168, 3.954198, -21.600000, 7.950000, -16.350000, 27.454609, 941.000000, 25.240000, -0.713504, 619.318542
10866, 57.128906, 921.386719, -421.386719, -115.137405, 15.282443, 38.564884, -21.299999, 10.350000, -11.250000, 27.310839, 944.500000, 25.309999, -0.678820, 588.444519
10940, 132.324219, 1064.941406, -305.175781, -76.167938, 5.007634, 7.160306, -24.450001, 10.050000, -4.050000, 27.454609, 932.400024, 25.260000, -0.798728, 695.577087
11015, 65.917969, 904.785156, -258.300781, -52.351147, 30.877863, 2.419847, -24.150000, 7.350000, -1.800000, 27.167070, 942.599976, 25.200001, -0.697648, 605.193420
11090, 107.910156, 982.910156, -258.789062, -55.496181, -22.564886, -62.526718, -24.150000, 6.150000, 1.350000, 27.310839, 935.299988, 25.200001, -0.769990, 669.798889
11170, 54.199219, 1082.031250, -203.125000, -32.229008, -9.618320, -14.320611, -22.350000, 6.750000, 4.950000, 27.310839, 943.299988, 25.250000, -0.690712, 599.019531
11246, 49.316406, 1088.378906, -138.183594, -2.702290, 11.229008, -35.778625, -21.000000, 4.650000, 6.600000, 27.358763, 944.500000, 25.240000, -0.678820, 588.444519
11322, 6.347656, 1057.617188, -156.250000, -22.992367, 2.931298, 9.030535, -22.049999, 4.050000, 9.000000, 26.975380, 942.099976, 25.309999, -0.702603, 609.605469
11401, -168.457031, 798.828125, 97.167969, -29.160305, 16.870230, 8.274809, -23.100000, 4.800000, 10.050000, 27.502531, 941.500000, 25.290001, -0.708549, 614.902283
11473, 26.855469, 1073.242188, -111.816406, -0.412214, -16.007633, -5.793893, -22.950001, 4.200000, 11.850000, 27.167070, 943.099976, 25.260000, -0.692694, 600.783203
11545, -7.812500, 1012.207031, -98.144531, 1.625954, 7.709924, 3.839695, -21.299999, 4.500000, 11.250000, 27.262917, 936.799988, 25.230000, -0.755125, 656.490479
11620, -12.695312, 1014.648438, -41.992188, 6.519084, -17.610687, -0.335878, -22.950001, 4.200000, 12.150000, 27.167070, 937.799988, 25.330000, -0.745215, 647.627869
11694, 38.574219, 975.585938, -89.843750, 13.312977, 1.809160, -6.984733, -21.750000, 3.000000, 10.650000, 27.310839, 937.400024, 25.290001, -0.749179, 651.171692
11768, -3.906250, 1034.179688, -93.261719, 2.000000, -8.885496, 6.282443, -23.100000, 4.500000, 11.250000, 27.167070, 939.500000, 25.280001, -0.728369, 632.578735
11846, 20.507812, 1023.925781, -88.378906, 2.412214, -1.664122, -5.618320, -21.600000, 3.600000, 10.500000, 27.454609, 939.700012, 25.309999, -0.726387, 630.809631
11922, -21.484375, 981.445312, -53.222656, 0.381679, 11.221375, 2.083969, -23.100000, 4.050000, 10.050000, 27.167070, 941.200012, 25.309999, -0.711522, 617.551697
11998, 32.226562, 925.781250, -94.238281, -5.885496, 8.465649, 5.312977, -22.950001, 4.200000, 9.900000, 27.310839, 935.500000, 25.309999, -0.768008, 668.023315
12078, -6.347656, 1040.527344, -119.140625, -1.908397, 0.244275, -9.496183, -23.549999, 5.250000, 10.800000, 27.502531, 942.099976, 25.299999, -0.702603, 609.605469
12155, 57.128906, 1060.058594, -111.328125, 16.725191, 5.541985, -0.152672, -22.350000, 3.600000, 10.800000, 27.023302, 935.900024, 25.280001, -0.764044, 664.473145
12227, -21.972656, 953.613281, -62.500000, -10.450381, 7.236641, -23.297710, -22.950001, 4.650000, 8.850000, 27.358763, 942.400024, 25.309999, -0.699630, 606.957581
12301, -95.703125, 772.460938, 35.644531, 30.022902, -2.541985, -24.946566, -22.200001, 5.850000, 9.900000, 27.310839, 942.200012, 25.299999, -0.701612, 608.722595
12373, -5.859375, 952.148438, -46.875000, -6.893130, 9.885496, 10.312977, -23.100000, 3.600000, 9.000000, 27.167070, 939.599976, 25.389999, -0.727378, 631.694458
12447, 9.765625, 989.257812, -98.632812, -10.312977, 2.946565, 10.213740, -22.799999, 5.250000, 8.700000, 27.502531, 941.700012, 25.370001, -0.706567, 613.136230
12525, 23.925781, 1041.992188, -71.289062, -8.717557, 15.992367, 2.480916, -23.100000, 3.300000, 9.750000, 27.167070, 946.099976, 25.350000, -0.662964, 574.361694
12600, -4.394531, 1002.441406, -16.601562, -3.068702, 1.519084, -0.671756, -22.350000, 3.600000, 10.500000, 27.262917, 944.500000, 25.350000, -0.678820, 588.444519
12675, 20.996094, 1019.531250, -52.246094, 5.946565, -18.480917, 3.480916, -21.600000, 4.050000, 10.800000, 27.167070, 944.500000, 25.389999, -0.678820, 588.444519
12754, 20.019531, 990.234375, -61.523438, 8.305344, 21.297710, 5.366412, -21.450001, 3.900000, 10.350000, 27.358763, 940.900024, 25.370001, -0.714495, 620.201843
12830, 19.531250, 966.796875, -78.613281, 1.893130, 11.244275, 4.122138, -22.799999, 4.800000, 10.800000, 27.310839, 938.200012, 25.360001, -0.741251, 644.084717
12909, 9.765625, 986.816406, -50.781250, 11.290076, -10.687023, 1.557252, -22.500000, 3.450000, 10.650000, 27.167070, 943.799988, 25.350000, -0.685757, 594.612000
12981, -8.789062, 993.652344, -93.261719, 7.190840, -6.541985, -7.977099, -22.950001, 4.950000, 10.350000, 27.454609, 937.900024, 25.360001, -0.744224, 646.741699
13055, -9.765625, 951.171875, -100.097656, 18.923664, 24.664122, -3.694656, -22.200001, 3.900000, 9.150000, 27.310839, 939.200012, 25.410000, -0.731342, 635.232727
13127, -15.136719, 1012.695312, -86.914062, -1.076336, 7.717557, -8.580153, -22.500000, 4.650000, 10.650000, 27.550453, 936.099976, 25.389999, -0.762062, 662.699036
13200, -17.089844, 1020.019531, -83.496094, 4.778626, -12.305344, -11.725191, -22.350000, 4.500000, 10.050000, 27.454609, 936.299988, 25.400000, -0.760080, 660.924683
13277, -5.859375, 1006.835938, -86.914062, -5.190840, -1.923664, -2.954198, -22.799999, 4.050000, 9.750000, 27.454609, 937.799988, 25.400000, -0.745215, 647.627869
13352, -23.925781, 993.164062, -88.867188, -5.236641, -15.687023, 5.145038, -21.750000, 4.650000, 11.100000, 27.119148, 939.200012, 25.400000, -0.731342, 635.232727
13427, -4.882812, 1001.953125, -106.445312, -0.717557, 4.580153, -8.427481, -22.049999, 3.300000, 10.500000, 27.310839, 932.700012, 25.440001, -0.795755, 692.907471
13506, -23.925781, 987.304688, -98.632812, 1.068702, -12.603053, -4.832061, -21.000000, 4.650000, 11.100000, 27.454609, 934.400024, 25.379999, -0.778909, 677.791870
13582, -24.414062, 986.328125, -75.683594, -0.519084, -17.175573, -1.083969, -22.049999, 3.300000, 9.300000, 27.310839, 930.500000, 25.430000, -0.817557, 712.501953
13658, -22.949219, 996.093750, -99.121094, -6.480916, -6.366412, -11.129771, -21.750000, 3.900000, 10.650000, 27.167070, 933.500000, 25.450001, -0.787827, 685.791626
13736, -40.527344, 995.605469, -94.726562, -5.732824, 20.007633, -0.809160, -21.450001, 5.400000, 10.350000, 27.454609, 939.799988, 25.450001, -0.725396, 629.925476
